id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
190,WI,Jackson11,2010,MD,6g,-37.9,1981,0.84,0.75,0.18,0.04,0.70,0.72,1.12,3.63,4.27,1.33
191,WI,Jackson12,2010,NPV,5x10^11,-72.3,166,-0.27,-0.21,-1.32,-0.88,,0.77,0.74,1.41,1.14,
192,WI,Jackson2,2010,Btk,24BIUx2,-26.8,1584,0.90,0.88,0.85,0.87,0.82,0.51,0.60,0.76,0.65,0.86
193,WI,Jackson3,2010,Btk,24BIUx2,-28.9,1934,0.72,0.95,0.96,0.84,0.67,1.59,0.30,0.22,0.90,1.88
194,WI,Jackson4,2010,Btk,24BIUx2,-40.1,86,0.75,0.75,0.56,0.81,,0.45,0.44,0.80,0.34,
195,WI,Jackson5,2010,NPV,5x10^11,-41,77,0.29,-2.19,0.59,0.82,,1.86,8.35,1.06,0.48,
196,WI,Jackson6,2010,NPV,5x10^11,-74.1,134,0.64,0.52,0.22,0.46,,1.13,1.51,2.46,1.69,
197,WI,Jackson7,2010,Btk,24BIUx2,-84.3,104,0.75,0.17,,-0.04,,0.42,1.40,,1.76,
198,WI,Jackson8,2010,Btk,24BIUx2,-38,1386,0.83,0.97,0.92,0.82,0.77,1.37,0.22,0.70,1.46,1.93
199,WI,Jackson9,2010,Btk,24BIUx2,-35,1967,0.91,0.76,0.62,0.81,0.94,0.71,1.97,3.11,1.51,0.47
200,WI,La Crosse1,2010,MD,6g,-0.1,408,0.92,1,0.85,0.88,0.89,1.05,0.03,2.05,1.58,1.46
201,WI,LaCrosse2,2010,Btk,24BIUx2,-0.1,818,0.86,1,0.95,0.97,0.96,8.46,0.26,3.16,1.94,2.81
202,WI,LaCrosse3,2010,Btk,24BIUx2,-11.4,896,0.93,0.72,0.67,0.80,1,0.71,2.83,3.26,2.01,0.05
203,WI,LaCrosse4,2010,Btk,24BIUx2,-16.5,1126,0.87,0.51,0.98,0.90,0.97,0.54,2.10,0.10,0.41,0.11
204,WI,LaCrosse5,2010,Btk,24BIUx2,-23.6,1539,0.92,0.88,0.99,0.99,0.96,0.42,0.64,0.07,0.05,0.19
205,WI,LaCrosse6,2010,Btk,24BIUx2,-17.5,4835,0.97,0.64,0.77,0.86,0.95,0.11,1.14,0.70,0.45,0.17
206,WI,LaCrosse7,2010,Btk,24BIUx2,-9,835,0.80,0.57,0.26,0.90,0.98,1.52,3.33,5.71,0.74,0.16
207,WI,Monroe2,2010,Btk,24BIUx2,-20.2,362,0.79,0.72,0.95,0.91,0.88,1.12,1.48,0.25,0.51,0.66
208,WI,Richland1,2010,Btk,24BIUx2,-27.7,109,0.74,0.80,0.57,0.70,0.55,0.74,0.57,1.24,0.86,1.29
209,WI,Richland2,2010,Btk,24BIUx2,-36.9,180,0.48,0.72,0.51,0.23,-0.46,0.57,0.31,0.55,0.86,1.63
